INDEX,REGION,CITY
"101000",МОСКВА,
"101300",МОСКВА,
"101700",МОСКВА,
"101702",МОСКВА,
"101748",МОСКВА,
"101749",МОСКВА,
"101751",МОСКВА,
"101753",МОСКВА,
"101760",МОСКВА,
"101764",МОСКВА,
"101767",МОСКВА,
"101768",МОСКВА,
"101772",МОСКВА,
"101773",МОСКВА,
"101775",МОСКВА,
"101779",МОСКВА,
"101782",МОСКВА,
"101784",МОСКВА,
"101785",МОСКВА,
"101786",МОСКВА,
"101787",МОСКВА,
"101790",МОСКВА,
"101976",МОСКВА,
"101990",МОСКВА,
"102000",МОСКВА,
"102001",МОСКВА,
"102002",МОСКВА,
"102004",МОСКВА,
"102006",МОСКВА,
"102007",МОСКВА,
"102010",МОСКВА,
"102011",МОСКВА,
"102014",МОСКВА,
"102015",МОСКВА,
"102024",МОСКВА,
"102026",МОСКВА,
"102028",МОСКВА,
"102032",МОСКВА,
"102033",МОСКВА,
"102034",МОСКВА,
"102035",МОСКВА,
"102036",МОСКВА,
"102037",МОСКВА,
"102039",МОСКВА,
"102040",МОСКВА,ШАРАПОВО
"102041",МОСКВА,ШАРАПОВО
"102042",МОСКВА,ШАРАПОВО
"102043",МОСКВА,ШАРАПОВО
"102044",МОСКВА,ШАРАПОВО
"102045",МОСКВА,ШАРАПОВО
"102046",МОСКВА,ШАРАПОВО
"102047",МОСКВА,ШАРАПОВО
"102048",МОСКВА,ШАРАПОВО
"102049",МОСКВА,ШАРАПОВО
"102050",МОСКВА,ШАРАПОВО
"102051",МОСКВА,ШАРАПОВО
"102052",МОСКВА,ШАРАПОВО
"102053",МОСКВА,ШАРАПОВО
"102054",МОСКВА,ШАРАПОВО
"101722",МОСКВА,"63"
"101721",МОСКВА,
"102055",МОСКВА,ШАРАПОВО
"102056",МОСКВА,ШАРАПОВО
"102057",МОСКВА,ШАРАПОВО
"102058",МОСКВА,ШАРАПОВО
"102059",МОСКВА,ШАРАПОВО
"102060",МОСКВА,
"102070",МОСКВА,ШАРАПОВО
"102071",МОСКВА,ШАРАПОВО
"102072",МОСКВА,ШАРАПОВО
"102073",МОСКВА,ШАРАПОВО
"102074",МОСКВА,ШАРАПОВО
"102075",МОСКВА,ШАРАПОВО
"102076",МОСКВА,ШАРАПОВО
"102077",МОСКВА,ШАРАПОВО
"102078",МОСКВА,ШАРАПОВО
"102079",МОСКВА,ШАРАПОВО
"102080",МОСКВА,ШАРАПОВО
"102081",МОСКВА,ШАРАПОВО
"102082",МОСКВА,ШАРАПОВО
"102083",МОСКВА,ШАРАПОВО
"102084",МОСКВА,ШАРАПОВО
"102085",МОСКВА,ШАРАПОВО
"102086",МОСКВА,ШАРАПОВО
"102087",МОСКВА,ШАРАПОВО
"102088",МОСКВА,ШАРАПОВО
"102089",МОСКВА,ШАРАПОВО
"102090",МОСКВА,ШАРАПОВО
"102091",МОСКВА,ШАРАПОВО
"102092",МОСКВА,ШАРАПОВО
"102093",МОСКВА,ШАРАПОВО
"102094",МОСКВА,ШАРАПОВО
"102095",МОСКВА,ШАРАПОВО
"102096",МОСКВА,ШАРАПОВО
"102097",МОСКВА,ШАРАПОВО
"102098",МОСКВА,ШАРАПОВО
"102099",МОСКВА,ШАРАПОВО
"102100",МОСКВА,
"102101",МОСКВА,
"102102",МОСКВА,
"102103",МОСКВА,
"102104",МОСКВА,
"102105",МОСКВА,
"102106",МОСКВА,
"102107",МОСКВА,
"102121",МОСКВА,
"102122",МОСКВА,
"102150",МОСКВА,
"102151",МОСКВА,
"102152",МОСКВА,
"102153",МОСКВА,
"102160",МОСКВА,
"102161",МОСКВА,
"102162",МОСКВА,
"102220",МОСКВА,
"102221",МОСКВА,
"102240",МОСКВА,
"102241",МОСКВА,
"102300",МОСКВА,
"102301",МОСКВА,
"102302",МОСКВА,
"102320",МОСКОВСКАЯ ОБЛАСТЬ,ДОМОДЕДОВО
"102321",МОСКОВСКАЯ ОБЛАСТЬ,ДОМОДЕДОВО
"102322",МОСКОВСКАЯ ОБЛАСТЬ,ДОМОДЕДОВО
"102324",МОСКОВСКАЯ ОБЛАСТЬ,ДОМОДЕДОВО
"102325",МОСКОВСКАЯ ОБЛАСТЬ,ДОМОДЕДОВО
"102326",МОСКОВСКАЯ ОБЛАСТЬ,ДОМОДЕДОВО
"102830",МОСКВА,
"102831",МОСКВА,
"102832",МОСКВА,ШАРАПОВО
"102833",МОСКВА,ШАРАПОВО
"102834",МОСКВА,ШАРАПОВО
"102835",МОСКВА,ШАРАПОВО
"102836",МОСКВА,ШАРАПОВО
"102837",МОСКВА,ШАРАПОВО
"102838",МОСКВА,ШАРАПОВО
"102839",МОСКВА,ШАРАПОВО
"102840",МОСКВА,ШАРАПОВО
"102841",МОСКВА,ШАРАПОВО
"102892",МОСКВА,
"102894",МОСКОВСКАЯ ОБЛАСТЬ,ДОМОДЕДОВО
"102895",МОСКВА,
"102896",МОСКВА,
"102897",МОСКВА,
"102898",МОСКВА,ШАРАПОВО
"102900",МОСКВА,
"102901",МОСКВА,
"102902",МОСКВА,
"102903",МОСКВА,
"102904",МОСКВА,
"102961",МОСКВА,ШАРАПОВО
"102963",МОСКВА,ШАРАПОВО
"102964",МОСКВА,ШАРАПОВО
"102965",МОСКВА,ШАРАПОВО
"102966",МОСКВА,ШАРАПОВО
